,content,sentimen
67,Game sangat bagus saya sangat suka dengan game ini apa lagi dengan skin-skinnya,1.0
68,"game amati tiru plek ketiplek aja bangga, minimal kalo bikin game yang kreatif dikit blok",0.0
69,Developer sangat oke dalam update,1.0
70,Wow!!! belum sebulan rilis sudah jadi TOP 1 terpopuler.,1.0
71,Game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hehehehe,1.0
72,aku suka banget,1.0
73,banyak hadiah,1.0
74,Sangat menghibur dan tidak membosankan,1.0
75,Game grafik cakep Permainan mudah di mengerti Event nya ga logis banget sangat sangat menawan + jarang ada player toxic Nice game dev,1.0
76,Komunitasnya aktif dan bagus sekali,1.0
77,Game sangat bagus ngk kyk game moba,1.0
78,sangat bagus dan membuatku semakin bersemqngat,1.0
79,game ini lebih baik daripada game mlbb,1.0
80,iklan nya pantekkkkk,0.0
81,Tolong didengar ya mending ban aja kalo ada yang feeder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,0.0
82,Game moba terbaik,1.0
83,Gemenya sangat asek dimainkan. Mantap,1.0
84,mantap gamenya,1.0
85,lebih banyak kasih event skin gratis lagi yak.,1.0
86,Developer sangat oke dalam update,1.0
87,Ini tolong bug nya di perbaiki kadang² pas saya lagi main itu tiba² ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa? Tolong di perbarui,0.0
88,GAME SERU,1.0
89,Game ini benar-benar mantap!,1.0
90,Asli game ini sangat sangat seru,1.0
91,Event-eventnya sangat oke dan menarik,1.0
92,Ngfrane pas mau foloww teman padahal digame lain GK ngeframe,0.0
93,Sangat good,1.0
94,Event dalam game sangat menghibur,1.0
95,sejauh ini masih OK aku suka game nya,1.0
96,Mantul banget ni moba,1.0
97,sangat bagus,1.0
98,lebih seru ini dari pada ml,1.0
99,gil NIH GAME KERENN COY,1.0
100,Game nya kerenn byk event dan skin gratis mantap,1.0
101,"Event nya gacor semua, gak ada yang gagal, good job",1.0
102,GEMNYA GAMPANG BUAT PLAYER PEMULA,1.0
103,Jangan pada instal nih game gua udah di platinum kalah mulu 10 kali berturut2 dapat tim dar sistem yang lebih parah diband8ngkan dark sistemnya ML nih game sumpah bikin stres ajg,0.0
104,GAME PLAGIATT HAHAHA!!!,0.0
105,Game ini seru dan menarik bagus aku kasih bintang lima,1.0
106,"Ga ada lawan, mantepp",1.0
107,Mantaplah mayan,1.0
108,bagus banget😘,1.0
109,"Bagus banget, saya suka sekali",1.0
110,semoga sukses untung game ini,1.0
111,Kasih 5 bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,1.0
112,"Game gak pelit, keren deh pokoknya",1.0
113,Gameplaynya mantap dengan strategi tinggi,1.0
114,bagus cuy,1.0
115,oklah nyaman lagi game ny,1.0
116,"Mulai dah pnyakitnya seperti game2 yg serupa sebelumnya(ML),server penuh gagal login",0.0
117,Developer sangat oke dalam update,1.0
118,Update terbaru membuatnya lebih mantap,1.0
119,sering eror,0.0
120,game match nya paling cacad develover nya anjinx,0.0
121,"Di kasih lose mulu,dapat team ampas,naik platinum lll berasa mau naik rank tertinggi aja",0.0
122,Reward harian sangat menghibur dan menarik,1.0
123,Game sampah grafik burik,0.0
124,DARK SYSTEM MOBILE LEGENDS PADA PINDAH KE HOK NJIR MAKIN HARI MAKIN PARAH GAMEPLAY KA,0.0
125,Sumpah ini game kok jadi kayak virus di HP gue sumpah aneh.,0.0
126,Reward harian sangat menghibur dan menarik,1.0
127,Skill hero sangat bagus dan unik,1.0
128,Hero-nya beragam dan sangat menghibur,1.0
129,sangat menarik dari pada game sebelah,1.0
130,mantap mekanik nya gak ngebosenin,1.0
131,Sangat oke untuk dimainkan setiap hari,1.0
132,Saat bermain lancar dan banyak sekin geratis dan ifen menarik saya kasih pintng lima,1.0
133,Bagus 👍👍👍,1.0
134,Dapat skin banyak sih iya tapi effect ny beda jauh sama game sebelah trus gw jdi malas main juga di game ini karena klo gacha gk pernah hoki,0.0
135,tidak sulit,1.0
136,lebih seru mlbb,0.0
137,game baik hati🥰🥰🥰,1.0
138,"ketidak cocokan team match masih banyak sebagai player merasa di rugikan, kami harap pihak developer menindaklanjuti hal tersebut dan memberi solusi yang tepat agar semua player mendapatkan kenyamanan dalam bermain.",0.0
139,"Saran aja min,untuk turet nya terlalu gampang di pecahkan,sama fitur download nya udh di jeda tapi abis selesai match mulai otomatis,paling penting sih untuk turet nya terlalu gampang di pecahkan",0.0
140,"GG parah Tencent,Baek Baek Tencent😁😁",1.0
141,Sangat suka,1.0
142,"sama aja kaya game ML, dark system nya ada, kalo dah mau naik tier pasti ktemu player feed, mnding main ML sekalian dah, game baru aja udah main dark system,",0.0
143,"keren nih hok walapun dulu pengen coba akhirnya sekarang bisa untuk server global, gas terus min sarkasin ml wkwwk.",1.0
144,Sangat menghibur dan tidak membosankan,1.0
145,oke cukup bagus gameNya untuk saya,1.0
146,Cuihh heronya /rambut nya mirip ml dan jg ff minimal jangan ngikutin dong semua yg main ml pindah ke hok gara2 heronya sama mending hapus aja deh dari play store huuu ngikutin ml and ff,0.0
147,cmantep nij game,1.0
148,game baik hati ga kaya sebelah :D,1.0
149,"game nya bagus,grafik lancar,hero unik2 dan event menarik!",1.0
150,game sangat bagus,1.0
151,Seru banget,1.0
152,Gamenya sangat bagus untuk dimainkan,1.0
153,game yang bagus,1.0
154,Game ini benar-benar mantap!,1.0
155,Hero-nya beragam dan sangat menghibur,1.0
156,Seru banget,1.0
157,sangat bagus,1.0
158,Hero-nya beragam dan sangat menghibur,1.0
159,"susah mahamin nama dan posisi. Banyak bug, loading awal lama banget....",0.0
160,Event dalam game sangat menghibur,1.0
161,Sistem pertarungan sangat oke dan adiktif,1.0
162,Game ini benar-benar mantap!,1.0
163,untuk sekarang sangat sangat oke semuga kedepannya lebih memuaskan 👍🏻,1.0
164,tolong buatkan pertempuran yang adil,0.0
165,Skill hero sangat bagus dan unik,1.0
166,"Untuk gameplay sih oke tapi, tolong untuk sistem matchmaking nya segera diperbaiki kenapa?, karena kenapa saya mendapatkan tim beban terus tidak setara dengan rank yang saya miliki. Dan kalau pihak developer ingin kita sebagai player betah bermain hok tolong segera diperbaiki sistem tersebut.",0.0
167,Gax bisa masuk ke game play nya setiap mau masuk game play nya selalu gagal al hasil saya gax bisa main² tolong ya di perbaiki,0.0
168,sejauh ini ok lah,1.0
169,Kenapa dikasihnya tim luar dan lawanya dapetnya yang gak sepadan jadi kurang nyaman,0.0
170,"Game asu baru ngisi data udah abis, gila ini game terlalu banyak mkn data 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡",0.0
171,"Beberapa hari bermain HOK mulai berpenyakit seperti MLBB, pengaturan tim yang tak jelas kadang seakan memang dibuat kalah dengan dipasangkan dengan anggota tim yang tak tahu cara bermain juga tak tahu rotasi setiap hero. Yang sedang mendownload berharap ini lebih baik dari MLBB dan AOV, mereka tidak lebih baik dark sistem lebih parah disini. HOK sedang menuju jalan yang sama denga AOV, Jalan kehancuran.",0.0
172,"Kenapa gamenya seru?, karena gamenya seru dan banyak skin gratis bahkan bisa mendapatkan skin legend 😋😋",1.0
173,Defense turret nya terlalu lemah dan demage turret nya gak sakit padahal gak ada minion di dalam turret nya 🗿🗿🗿🗿,0.0
174,"Bagus banget, saya suka sekali",1.0
175,Sehat sehat game baik,1.0
176,"game bagus, ga pelit",1.0
177,game kerennnnn,1.0
178,"gamenya mantap, dri segi grafik dan lainnya jga mantap 👍👍👍👍",1.0
179,Game ini benar-benar mantap!,1.0
180,"Game nya ngawur banget bet masa ketemu player campuran terus ketemu negara Thailand Brazil Malaysia dan lain"" yang bikin males gw sama aja ni game ada drak system' kaya game sebelah emang bnyak even tapi tolong lah jangan banyakin player campuran ke gitu main nya boot parah",0.0
181,sangat menghibur,1.0
182,game baik ga kek moonton,1.0
183,Mantap game nya ga kaya game sebelah,1.0
184,Sistem pertarungan sangat oke dan adiktif,1.0
185,Sangat menghibur dan tidak membosankan,1.0
186,Pertarungannya seru dan menghibur banget,1.0
187,game yang sangat bagus klo game ini walau kalah ttp ketawa.. klo mobile legend bikin gw koma klo kalah...,1.0
188,Pertarungannya seru dan menghibur banget,1.0
189,Sinyal susahhhhhh,0.0
190,Bagus seru,1.0
191,"Belum menemukan titik keseruan dari game ini, tapi lumayan juga sih game ini buat para drak sistem dari game sebelah buat pindah kesini. Terima kasih",0.0
192,Kontrolnya mantap dan responsif,1.0
193,"Perbaikin matchmakingnya, lawan tidak imbang",0.0
194,Reward harian sangat menghibur dan menarik,1.0
195,Setalah download data game langsung stuk di loading screen tolong di fix,0.0
196,Lemot banget tolong??,0.0
197,Game ini benar-benar mantap!,1.0
198,Game ini benar-benar mantap!,1.0
199,Game ini sangat oke dan seru,1.0
200,Gameplaynya mantap dengan strategi tinggi,1.0
201,"11 12 sm game mobile legends, gue ketemu dark sistem padahal 1 bintang lagi lepas diamon satu, dan naik tier, tapi setiap 1 bintang terakhir di kasi tim bot dan tim lawan pro, udah keliatan kebusukan nya, dasar game ampas",0.0
202,permainan yg sangat senang sekali,1.0
203,keren 👍👍👍👍❤❤❤,1.0
204,Ngelag para,0.0
205,Sngat memuaskan,1.0
206,game nyaa baguss sii.......,1.0
207,mantap game nya 👍👍👍,1.0
208,Skill hero sangat bagus dan unik,1.0
209,"KU KIRA BEDA SAMA GAME SEBELAH, TERNYATA SAMA AJA.",0.0
210,𝙶𝚊𝚖𝚎 𝚐𝚊 𝚓𝚎𝚕𝚊𝚜,0.0
211,game nya bagus,1.0
212,Game ini benar-benar mantap!,1.0
213,mantap kali,1.0
214,Komunitasnya aktif dan bagus sekali,1.0
215,enak juga,1.0
216,"Dapat team ga pernah benar, Kalah mulu, gabisa kasih team yang bagus apa. Masa main kalah mulu. Aneh.",0.0
217,Game paling ku suka dari dulu ini honor of kings ❤❤❤,1.0
218,saya sangat menyukai nya,1.0
219,bagus banget game ini seru banget,1.0
220,"Woi anjer, nih ya, gua kasih tau, kalau buat iklan tu yang bener bener aja lah an* gausah jatuhin game lain kntil, biar apa coba lu kek gitu hah? Bodo banget ini developer nya sumpah, baru terbit udah jatuhin game moba paling laris didunia an*, bodo se bodo bodonya loh, dari segi manapun lu masih kalah, ml masih jauh diatas lu, gua tau lu bisa berproses, tapi iklan lu itu loh, sumpah ga profesional banget, bodo, moga nasib lu sama kaya aov kontrol",0.0
221,Game ini sangat oke dan seru,1.0
222,Terima kasih game baik🙏,1.0
223,ini sangat seru,1.0
224,Skill hero sangat bagus dan unik,1.0
225,"animasi nya keren, banyak skin gratis nya",1.0
226,keren dan menarik,1.0
227,Grafiknya bagus dan memukau,1.0
228,Ini sangat bagus,1.0
229,"Nama itu sukak"" Kami lah yg buat, beda banget sama ML ini asal buat nama sudah ada capek cari nama .",0.0
230,"terlalu besar game ya. hpku 4 GB. ngelak"" tolong agak di kecilkan",0.0
231,Grafiknya bagus dan memukau,1.0
232,Gak jauh beda sama mlbb banyak draksistem dan sering terjadi masalah sama jaringannya👎👎👎👎👎,0.0
233,mantap banget gamenya,1.0
234,game nya bagus banget,1.0
235,Pertarungannya seru dan menghibur banget,1.0
236,Game ini benar-benar mantap!,1.0
237,wah game' nya bagus👍,1.0
238,"Fpsnya stabil, dan banyak hadiah menarik",1.0
239,Sangat menghibur dan tidak membosankan,1.0
240,Game ini sangat oke dan seru,1.0
241,game ini Bagus banget,1.0
242,Mantap cuy,1.0
243,ok lah,1.0
244,Skill hero sangat bagus dan unik,1.0
245,Update terbaru membuatnya lebih mantap,1.0
246,Kontrolnya mantap dan responsif,1.0
247,game kont,0.0
248,Pertarungannya seru dan menghibur banget,1.0
249,ok gas,1.0
250,susah menaikan pangkat karena ke bayakan drak sistem,0.0
251,Kalo mao mabar knp harus download data full,0.0
252,Gamenya sangat bagus dan keren sekali,1.0
253,Hero-nya beragam dan sangat menghibur,1.0
254,lumayan bagus,1.0
255,Bintangnya saya turunin 1 karna saya suka drop fpsnya saat war dan saya terpaksa harus keluar.,0.0
256,Terlalu banyak iklan mengganggu,0.0
257,gila keren abis,1.0
258,seru dan menyenangkan,1.0
259,Grafiknya bagus dan memukau,1.0
260,Komunitasnya aktif dan bagus sekali,1.0
261,Bagus game nya,1.0
262,Event dalam game sangat menghibur,1.0
263,Kenapa tidak bisa masuk game ???,0.0
264,"Game idaman,manjain pemain baru ga kaya game sebelah:v",1.0
265,"Ngasih tim ngotak dikit, sama kalau ngasih musuh jangan yg tier tinggi lah, masa gw main solo pas gw cek musuh gw tier nya jauh diatas gw",0.0
266,"Game tolol gw main solo di diamond ketemu dark sistem semuaa, bahkan lebih banyak dark sistemnya dari pada ml game rusak game bodoh",0.0
267,lebih ringan dan hd,1.0
268,Pertarungannya seru dan menghibur banget,1.0
269,gamenya oke,1.0
270,anjir bagus game nya di banding game sebelah,1.0
271,"Kasih tim yang adil dan seimbang, sering banget punya tim buta map + ga ngerti cara main yang bener",0.0
272,mantaplah gamenya,1.0
273,Grafiknya bagus dan memukau,1.0
274,Game ini sangat oke dan seru,1.0
275,Grafiknya bagus dan memukau,1.0
276,mantap honor,1.0
277,Skill hero sangat bagus dan unik,1.0
278,Game nya ngelag pas di lobby,0.0
279,"Honor of Kings,memang yg terbaik",1.0
280,tolong sizenya di kecilkan,0.0
281,Game nya Bagus Sekali Aku Sangat suka Game nya Semoga Game Nya Cepat Update,1.0
282,Ko suka riload/keluar sendiri gamenya,0.0
283,sangat bagus,1.0
284,Grafiknya bagus dan memukau,1.0
285,Ga jelas sinyal ilang ngedadak mulu tiap war kesel gw maen ini game mending kembali lagi ke game sebelah ini bener2 ngecewain bagus awal2 doang blm systim dark systemnya bikin mls,0.0
286,keren pokonya,1.0
287,Gamenya bagus,1.0
288,Sistem pertarungan sangat oke dan adiktif,1.0
289,mantap game nya,1.0
290,Mantapp kalii,1.0
291,Ku kasih bintang 1 karena pas main solo kadang ketemu musuh nya tidak seimbang sama yang baru main tapi untuk event dan yang lain ku suka mohon perbaiki match nya,0.0
292,"Bagus banget, saya suka sekali",1.0
293,game adil dan makmur,1.0
294,"Bagus sih gamenya, cuma memori penyimpanan terlalu besar, jdi untuk handphone yg RAM nya rendah ga bisa main ini",0.0
295,Hero-nya beragam dan sangat menghibur,1.0
296,"Geblek , banyak banget dark system , losetreak mulu kerjaan gw ,masa dari diamond 2 ke gold 3 . Gebleg emang",0.0
297,Bagus banget,1.0
298,game paling bagus di bandingkan dengan game sebelah,1.0
299,buruk sangat penyesuaian hero,0.0
300,Game rusak aku di kasih tim dark sistem 16 kali mvp dengan kekalahan👍,0.0
301,banyak dark sistem,0.0
302,mantap heronya,1.0
303,Grafiknya bagus dan memukau,1.0
304,Hero-nya beragam dan sangat menghibur,1.0
305,Masih ada bug terus kadang logout sendiri,0.0
306,Nice game,1.0
307,Efek suaranya mantap dan keren,1.0
308,"bagus banget, grafik smooth, ga pelit skin juga, wwkwk",1.0
309,game idiot buat hero ga ngotak semua,0.0
310,best sih ini,1.0
311,Grafiknya bagus dan memukau,1.0
312,Elek gw top up gk masuk,0.0
313,"Untuk developer Tencent, tolong perbaiki dulu sistem jaringan sinyal gamenya. Saya sudah pakai double jaringan wifi sama data tetap saja ngelag parah kalau di pakai buat push rank",0.0
314,Update terbaru membuatnya lebih mantap,1.0
315,Game moba yang sangat² recommended buat di mainin,1.0
316,Baru download kok gak bisa login?,0.0
317,Game ini sangat oke dan seru,1.0
318,Event dalam game sangat menghibur,1.0
319,Grafiknya bagus dan memukau,1.0
320,Skill hero sangat bagus dan unik,1.0
321,keren bgt,1.0
322,Skill hero sangat bagus dan unik,1.0
323,Event-eventnya sangat oke dan menarik,1.0
324,Pertarungannya seru dan menghibur banget,1.0
325,"Game MOBA terbaik menurut gue dengan grafis yang memanjakan mata, hero yang unik dan banyak free skinnya terima kasih🙏",1.0
326,lebih bagus dari game sebelah,1.0
327,Komunitasnya aktif dan bagus sekali,1.0
328,bagus aku suka hok game nya keren banyak hadiah menarik,1.0
329,seruuu bwangwettt,1.0
330,bagus game nya,1.0
331,Event dalam game sangat menghibur,1.0
332,Game ini benar-benar mantap!,1.0
333,teman terlalu noob gameplay tidak seimbang,0.0
334,Plagiat ml,0.0
335,dark sistem pindah sini semua ayoo biar ak cepet mitik,0.0
336,Pakai wifi jaringannya susah dan GK cpt untuk buka dan keluar dan mulai game,0.0
337,Sangat menghibur dan tidak membosankan,1.0
338,MANTAP GAME NYA ... BANYAK SKIN GRATIS!!!,1.0
339,"bagus, game ini sangat ramah dan tidak kikir seperti game mobile legend 🤭🤭🤭🤭",1.0
340,Pakai hp tua rata kanan pun masih lancar,1.0
341,Grafiknya bagus dan memukau,1.0
342,Mayan serulah,1.0
343,Gak pelit,1.0
344,Sistem pertarungan sangat oke dan adiktif,1.0
345,lebih keren dari sebelah wkwk,1.0
346,gamenya bgusss,1.0
347,Asu jaringan tiba tiba merah pas lagi war padahal wifi baik baik aja setelah kalah baru bener😏,0.0
348,"capek lah kalah mulu mau naik ke DM aja susah banget setara epic di ml pada tolol playernya gilira musu pada jago terlalu jago malah, dahlah uninstall aja perasaan agak gampang di ml hok skin sama grafik bagus tapi",0.0
349,Ga ningkat susah naik,0.0
350,Sekarang hok udah kayak mlbb banyak drak sistem,0.0
351,Bagus banget,1.0
352,Gameplaynya mantap dengan strategi tinggi,1.0
353,mantap bro..,1.0
354,Reward harian sangat menghibur dan menarik,1.0
355,Gamenya sangat bagus untuk dimainkan,1.0
356,Sangat menghibur dan tidak membosankan,1.0
357,Sistem pertarungan sangat oke dan adiktif,1.0
358,Developer sangat oke dalam update,1.0
359,Gameny bagus banget gk kalah asik ama sebelah,1.0
360,skin nya keren ajg gk kaya di ml pelit,1.0
361,bagus juga,1.0
362,Komunitasnya aktif dan bagus sekali,1.0
363,Sistem pertarungan sangat oke dan adiktif,1.0
364,game nya sangat menarik,1.0
365,"Game banyak cheater dan tidak di banned cuma di kurangi poinya saja 👎👎 buat apa ada bebatuan kalau bisa di tembus pemainya ,game yang aneh",0.0
366,"minus nya kalo jaringan gak stabil gak bisa login, sedangkan wifi aman, dan ruang penyimpanan masih banyak min, tolong di perbaiki ya min, makasih",0.0
367,bagus gamenya,1.0
368,Kontrolnya mantap dan responsif,1.0
369,Efek suaranya mantap dan keren,1.0
370,GAMENYA OKE BANGET,1.0
371,Sangat oke untuk dimainkan setiap hari,1.0
372,Lebih parah lagi dari mobile lagen tim nya.. Para bocah2 tolol main,0.0
373,Event dalam game sangat menghibur,1.0
374,Lag banget gak ramah sama hp kentang,0.0
375,ok banget,1.0
376,Game seru,1.0
377,Game sangat seru,1.0
378,GAME MANTAPP,1.0
379,game nya bagus mekanik dalam game nya juga keren grafik nya udh bagus dev nya juga baik udh banyak ngasih skin gratisan banyak skin epic yg di kasih secara gratis thanks dev,1.0
380,keren bgt cuy,1.0
381,Reward harian sangat menghibur dan menarik,1.0
382,boleh lah game MOBA Hero dan itemnya keren2,1.0
383,Event-eventnya sangat oke dan menarik,1.0
384,Gem kok niru gem lainya wkwk,0.0
385,Banyak bug,0.0
386,Reward harian sangat menghibur dan menarik,1.0
387,Enak banget aku suka game ini,1.0
388,Gem baik smoga panjang umur,1.0
389,menurut gua game ini udah bagus.. kurang nya kalo di game ini kadang kadang sering delay pas pencet tombol tombol yang ada di loby kayak pas pencet Hero suka deley gituu ada lagi pas kita mau main game ini pas offline kok gak bisa? padahal udah download resource offline nya?,0.0
390,"min kenapa yaa sinyal nya suka naik ga turun turun padahal mabar sama temen pake wifi yang sama dan dia bagus bagus aja sedangkan akun tembus 300 an dan temen aku pun ngalamin yang sama sebalik nya beberapa hari yg lalu,kek nya dari server nya deh tolong diperbaiki lagi ya min biar memberikan pengalaman bermain yang lebih baik untuk player nya",0.0
391,Game tolol ajg percumah gratis skin ngasih tim gak jelas gw dah kalah 15 kali ada ajg itu pun tier gold gak jelas ajg ngasih musuh gak ngotak,0.0
392,gamenya bagus,1.0
393,Kalo udah nyaman sama mobile lagend maen nih game rasanya aneh banget deh.. versinya belum bisa ngalahin mobile lagend,0.0
394,game baik,1.0
395,sangat seru,1.0
396,"bagus game nya,, asik",1.0
397,semoga semakin baik untuk game ini kedepannya,1.0
398,Grafiknya bagus dan memukau,1.0
399,"Bagus banget, saya suka sekali",1.0
400,Gw pas make angela sinyal nya merah mulu giliran make karakter lain sinyal nya hijau ap cba😑,0.0
401,Game ajg player playernya lebih tolol dari dark sistem ml,0.0
402,Gua player lama ML gua pindah ke hok karna mau nyari sensasi Hero Hero baru eh malah keenakan di hok wk,1.0
403,bagus games nya,1.0
404,Tolong we hero2nya di nerf masa iya di early sakit banget,0.0
405,Reward harian sangat menghibur dan menarik,1.0
406,sangat bagus,1.0
407,mantap grafik hd parah,1.0
408,Keren gk pelit game nya dapet hero /skin gratis dan item gratis terus gg semoga semakin keren dan terus berkembang,1.0
409,"Mantab terbukti developer gamenya baik banget soalnya setiap ada event enggak segan-segan buat ngasih reward yang menarik seperti skin collab/epic jadi betah mainnya dan untuk gameplay aku sendiri cukup enjoy dalam bermain, sistemnya adil, dan durasi dari gamenya tergolong cepet",1.0
410,Sistem pertarungan sangat oke dan adiktif,1.0
411,Game dog ..bikin emosi ..bnyak player bot yang buta maps,0.0
412,Sangat oke untuk dimainkan setiap hari,1.0
413,sep bagus,1.0
414,mudah dimainkan,1.0
415,"Gw kagak tau yg bermasalah jaringan gw atau emng ping dari gamenya g stabil tapi min bisalah di cek bntr soal jaringan,soalnya setiap gw main,pingnya naik turun gw juga g tau antara jaringan gw yg lelet atau apalah itu ah maleslah gw capek,intinya semangat ya min jangan lupa perbaiki segala yg mencakup game ini agar LBH baik,itu aja sih terimakasih",0.0
416,sangat bagus,1.0
417,Grafiknya bagus dan memukau,1.0
418,Game ini benar-benar mantap!,1.0
419,"Bagus banget, saya suka sekali",1.0
420,Event dalam game sangat menghibur,1.0
421,keren juga dan efeknya luar biasa👍🏻,1.0
422,bagus bngt,1.0
423,gamenya keren bangett... 👍👍👍,1.0
424,menarik mengangkat team work,1.0
425,bagus game nya,1.0
426,enakan main disini,1.0
427,lebih bagus dri pada moonton,1.0
428,game baik,1.0
429,sedikit kecewa karna setiap ketemu player beneran langsung terasa berat gamenya tolong di perbaiki lagi DEV . dark systemnya parah saya turunin bintangnya lagi,0.0
430,Gameplaynya mantap dengan strategi tinggi,1.0
431,Reward harian sangat menghibur dan menarik,1.0
432,"Tolong untuk gamenya masalah ping di perbaiki lagi, saya tidak tau masalah ini karna jaringan atau karna masalah di game, masalahnya sewaktu pertengahan game saat sedang war tiba2 ping bisa mencapai 300. Semoga di respon oleh team hok demi kenyamanan player",0.0
433,Sangat oke untuk dimainkan setiap hari,1.0
434,Mantap banyak skin gratis,1.0
435,"MASIH BAGUSAN ML, JADI GAUSAH SOK BAGUS HANYA KARENA BARU RILIS, JANGAN SOK BANDINGIN ML#BEDAKELASBEDAKUALITAS.",0.0
436,Gamenya sangat bagus untuk dimainkan,1.0
437,Gameplaynya mantap dengan strategi tinggi,1.0
438,good look,1.0
439,Skill hero sangat bagus dan unik,1.0
