index,Content,Preprocessing,Sentimen,Prediksi,Category
41,Tolong min jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil..... Itu aja sih min selebihnya udah mantep kok,"['tolong', 'developer', 'jaring', 'lebih', 'tingkat', 'main', 'pakai', 'wifi', 'lag', 'jaring', 'wifi', 'udah', 'stabil', 'sih', 'developer', 'lebih', 'udah', 'mantap']",negatif,negatif,TN
43,game niru,"['game', 'plagiat']",negatif,negatif,TN
46,Hero heronya dapat dari aov cuman ganti nama doang,"['hero', 'hero', 'aov', 'cuman', 'ganti', 'nama', 'doang']",negatif,negatif,TN
47,Iklannya terlalu mengganggu game lain,"['iklan', 'ganggu', 'game']",negatif,negatif,TN
48,masih bingung,['bingung'],negatif,negatif,TN
49,ok,['oke'],positif,positif,TP
50,Game niruin Mobilr legends awokawokawok,"['game', 'niruin', 'mobile', 'legends', 'awokawokawok']",negatif,negatif,TN
52,"heh bodoh yg buat game, tau diri lah anjingg, masih pangkat rendah ngasih tim bot, ngasih lawan pro player, dimana letak akalnya coba, hadeh pikirlah ANJINGGG , bocil aru main game ini gk usah pada download lh, main berbi aja udh, sok"" nyoba game baru, main skill gk ada sama sekali hadeh, ngabis'sin batre aja pikir"" lh ngasih tim woi yg buat game ANJINGGGGG BODOH APA GIMANAA MASIH PANGKAT RENDAH LO KONTOLLLL DIKASIH TIM KROCO LAWAN PRO PLAYERR HADEHHH ANJINGGGG","['heh', 'bodoh', 'buat', 'game', 'anjing', 'pangkat', 'rendah', 'ngasih', 'tim', 'bot', 'ngasih', 'lawan', 'pro', 'player', 'mana', 'letak', 'akal', 'coba', 'aduh', 'pikir', 'anjing', 'bocah', 'kecil', 'baru', 'main', 'game', 'tidak', 'download', 'main', 'berbi', 'udah', 'sok', 'nyoba', 'game', 'baru', 'main', 'skill', 'tidak', 'sekali', 'aduh', 'ngabisin', 'batre', 'pikir', 'ngasih', 'tim', 'woi', 'buat', 'game', 'anjing', 'bodoh', 'gimana', 'pangkat', 'rendah', 'kontol', 'kasih', 'tim', 'kroco', 'lawan', 'pro', 'player', 'aduh', 'anjing']",negatif,negatif,TN
53,Lumayan memuaskan game nya juga bagus mantap sih ini,"['lumayan', 'muas', 'game', 'bagus', 'mantap', 'sih']",positif,positif,TP
54,Keren sekali. Hero banyak dan desain skin menarik. Banyak gratisan. Ayo main bareng semuanya,"['keren', 'sekali', 'hero', 'banyak', 'desain', 'skin', 'tarik', 'banyak', 'gratis', 'ayo', 'main', 'bareng', 'semua']",positif,positif,TP
56,seru banget game nya,"['seru', 'banget', 'game']",positif,positif,TP
57,Tetap semangat untuk menyaingi monton🗿,"['semangat', 'saing', 'moonton']",positif,positif,TP
59,Hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertinggi,"['hasil', 'tidak', 'sesuai', 'mvp', 'kda', 'tinggi']",negatif,negatif,TN
60,Game burik mending mobile legen,"['game', 'burik', 'mending', 'mobile', 'legends']",negatif,negatif,TN
61,ntappp,['mantap'],positif,positif,TP
62,"aku senang sekali memainkan game ini, game ini mengasih skin² dari rare - legand dan itu gratis","['senang', 'sekali', 'main', 'game', 'game', 'asih', 'skin', 'rare', 'legend', 'gratis']",positif,positif,TP
63,Game plagiat,"['game', 'plagiat']",negatif,negatif,TN
65,"keren game nya banyak skin skin keren,, :v","['keren', 'game', 'banyak', 'skin', 'skin', 'keren', 'v']",positif,positif,TP
66,keren,['keren'],positif,positif,TP
67,game kntl,"['game', 'kontol']",negatif,negatif,TN
70,sangat bagus,"['sangat', 'bagus']",positif,positif,TP
72,Geme plagiat,"['game', 'plagiat']",negatif,negatif,TN
75,Gem nya bagus,"['game', 'bagus']",positif,positif,TP
76,Gem ini seberu bangett,"['game', 'seru', 'banget']",positif,positif,TP
78,ok,['oke'],positif,positif,TP
79,Kenapa gw dapet tim dark sistem tim gw bot musuh gw gg semua ini gimana caranya gw menang ayolah yang bener aja males main,"['dapet', 'tim', 'dark', 'system', 'tim', 'bot', 'musuh', 'tidak', 'semua', 'gimana', 'menang', 'ayo', 'bener', 'males', 'main']",negatif,negatif,TN
81,Gem ini bagu dari penampilan nya juga bagus apalagi pas mainnnya jadi saya suka permainan ini,"['game', 'bagus', 'tampil', 'bagus', 'pas', 'main', 'suka', 'main']",positif,positif,TP
82,geme ini sangat seru,"['game', 'sangat', 'seru']",positif,positif,TP
86,bgus,['bagus'],positif,positif,TP
88,bagus,['bagus'],positif,positif,TP
90,seru nggak kaya mobile legend cacat,"['seru', 'tidak', 'mobile', 'legend', 'cacat']",positif,positif,TP
91,tak ada lawan mantaf,"['tidak', 'lawan', 'mantap']",positif,positif,TP
93,"grafik oke, Skin banyak dan gratis untuk pemula, Tencent dabest lah","['grafik', 'oke', 'skin', 'banyak', 'gratis', 'mula', 'tencent', 'baik']",positif,positif,TP
96,Gamenya sih okelah bagus mirip ml aku kasih bintang 5,"['gamenya', 'sih', 'oke', 'bagus', 'mirip', 'ml', 'kasih', 'bintang']",positif,positif,TP
99,mantap,['mantap'],positif,positif,TP
100,Mending ml,"['mending', 'ml']",negatif,negatif,TN
101,"gamenya sangat seru dibandingkan game sebelah, developer tidak pelit sama sekali, pokoknya mantap deh","['gamenya', 'sangat', 'seru', 'banding', 'game', 'belah', 'developer', 'tidak', 'pelit', 'sekali', 'pokok', 'mantap', 'dah']",positif,positif,TP
102,keren gamenya dan seru,"['keren', 'gamenya', 'seru']",positif,positif,TP
103,keren,['keren'],positif,positif,TP
104,Agak ngeleg² kalo di pencet,"['ngelag', 'pencet']",negatif,negatif,TN
105,"Nama namah heronya gak jelas nama cina,coba cari nama yg global yg mudah di sebutin, ya oke lah buat bebepara Hero sejarah dan mitologi cina dengan nama cina nya. Lah ini banyak Hero yg bukan siapa siapa di cina dibikin Hero dengan nama cina 🥱","['nama', 'nama', 'hero', 'tidak', 'jelas', 'nama', 'china', 'coba', 'cari', 'nama', 'global', 'mudah', 'sebutin', 'ya', 'oke', 'buat', 'hero', 'sejarah', 'mitologi', 'china', 'nama', 'china', 'banyak', 'hero', 'china', 'bikin', 'hero', 'nama', 'china']",negatif,negatif,TN
107,Game sangat bagus saya sangat suka dengan game ini apa lagi dengan skin-skinnya,"['game', 'sangat', 'bagus', 'sangat', 'suka', 'game', 'skinskinya']",positif,positif,TP
108,"game amati tiru plek ketiplek aja bangga, minimal kalo bikin game yang kreatif dikit blok","['game', 'amat', 'tiru', 'plek', 'ketiplek', 'bangga', 'minimal', 'game', 'kreatif', 'dikit', 'goblok']",negatif,negatif,TN
110,Mantp,['mantap'],positif,positif,TP
111,Wow!!! belum sebulan rilis sudah jadi TOP 1 terpopuler.,"['luar', 'bulan', 'rilis', 'top', 'populer']",positif,negatif,FN
112,Game nya sangat keren dan bagus semoga kedepannya lebih bagus lagi hehehehe,"['game', 'sangat', 'keren', 'bagus', 'moga', 'depan', 'lebih', 'bagus', 'hahaha']",positif,positif,TP
113,aku suka banget,"['suka', 'banget']",positif,positif,TP
115,banyak hadiah,"['banyak', 'hadiah']",positif,positif,TP
116,mantap,['mantap'],positif,positif,TP
117,Game grafik cakep Permainan mudah di mengerti Event nya ga logis banget sangat sangat menawan + jarang ada player toxic Nice game dev,"['game', 'grafik', 'cakep', 'main', 'mudah', 'erti', 'event', 'tidak', 'logis', 'banget', 'sangat', 'sangat', 'tawan', 'jarang', 'player', 'toxic', 'bagus', 'game', 'developer']",positif,negatif,FN
118,ok,['oke'],positif,positif,TP
119,Game sangat bagus ngk kyk game moba,"['game', 'sangat', 'bagus', 'tidak', 'game', 'moba']",positif,positif,TP
120,sangat bagus dan membuatku semakin bersemqngat,"['sangat', 'bagus', 'buat', 'semangat']",positif,positif,TP
121,game ini lebih baik daripada game mlbb,"['game', 'lebih', 'baik', 'game', 'mlbb']",positif,positif,TP
122,iklan nya pantekkkkk,"['iklan', 'pantek']",negatif,negatif,TN
123,Tolong didengar ya mending ban aja kalo ada yang feeder karena meresahkan ilang bintang dikira gampang naik main solo tanpa temen,"['tolong', 'dengar', 'ya', 'mending', 'ban', 'feeder', 'resah', 'hilang', 'bintang', 'gampang', 'naik', 'main', 'solo', 'temen']",negatif,negatif,TN
125,Game moba terbaik,"['game', 'moba', 'baik']",positif,positif,TP
126,Gemenya sangat asek dimainkan. Mantap,"['gamenya', 'sangat', 'asik', 'main', 'mantap']",positif,positif,TP
127,mantap gamenya,"['mantap', 'gamenya']",positif,positif,TP
128,lebih banyak kasih event skin gratis lagi yak.,"['lebih', 'banyak', 'kasih', 'event', 'skin', 'gratis', 'yak']",positif,positif,TP
130,keren,['keren'],positif,positif,TP
131,Ini tolong bug nya di perbaiki kadang² pas saya lagi main itu tiba² ngelek tanpa sebab dan tidak bisa di main kan lagi terpaksa saya login ulang dan saya mohon itu foto profil cuma bisa sekali pake apa? Tolong di perbarui,"['tolong', 'bug', 'baik', 'kadang', 'pas', 'main', 'ngelag', 'tidak', 'bisa', 'main', 'paksa', 'login', 'ulang', 'mohon', 'foto', 'profil', 'bisa', 'sekali', 'pake', 'tolong', 'baru']",negatif,negatif,TN
132,GAME SERU,"['game', 'seru']",positif,positif,TP
134,ok,['oke'],positif,positif,TP
135,Asli game ini sangat sangat seru,"['asli', 'game', 'sangat', 'sangat', 'seru']",positif,positif,TP
136,keren,['keren'],positif,positif,TP
138,Ngfrane pas mau foloww teman padahal digame lain GK ngeframe,"['ngeframe', 'pas', 'teman', 'digame', 'tidak', 'ngeframe']",negatif,negatif,TN
139,Sangat good,"['sangat', 'bagus']",positif,positif,TP
140,mantap,['mantap'],positif,positif,TP
142,sejauh ini masih OK aku suka game nya,"['oke', 'suka', 'game']",positif,positif,TP
143,Mantul banget ni moba,"['mantap', 'banget', 'moba']",positif,positif,TP
144,sangat bagus,"['sangat', 'bagus']",positif,positif,TP
145,lebih seru ini dari pada ml,"['lebih', 'seru', 'ml']",positif,positif,TP
146,gil NIH GAME KERENN COY,"['gila', 'game', 'keren', 'coy']",positif,positif,TP
148,Game nya kerenn byk event dan skin gratis mantap,"['game', 'keren', 'banyak', 'event', 'skin', 'gratis', 'mantap']",positif,positif,TP
149,"Event nya gacor semua, gak ada yang gagal, good job","['event', 'keren', 'semua', 'tidak', 'gagal', 'bagus', 'job']",positif,positif,TP
151,GEMNYA GAMPANG BUAT PLAYER PEMULA,"['gamenya', 'gampang', 'buat', 'player', 'mula']",positif,positif,TP
152,Jangan pada instal nih game gua udah di platinum kalah mulu 10 kali berturut2 dapat tim dar sistem yang lebih parah diband8ngkan dark sistemnya ML nih game sumpah bikin stres ajg,"['jangan', 'instal', 'game', 'udah', 'platinum', 'kalah', 'mulu', 'kali', 'tim', 'dark', 'system', 'lebih', 'parah', 'dibandngkan', 'dark', 'system', 'ml', 'game', 'sumpah', 'stres', 'anjing']",negatif,negatif,TN
153,GAME PLAGIATT HAHAHA!!!,"['game', 'plagiat', 'hahaha']",negatif,negatif,TN
154,Game ini seru dan menarik bagus aku kasih bintang lima,"['game', 'seru', 'tarik', 'bagus', 'kasih', 'bintang']",positif,positif,TP
155,"Ga ada lawan, mantepp","['tidak', 'lawan', 'mantap']",positif,positif,TP
156,Mantaplah mayan,"['mantap', 'mayan']",positif,positif,TP
158,bagus banget😘,"['bagus', 'banget']",positif,positif,TP
160,keren,['keren'],positif,positif,TP
161,semoga sukses untung game ini,"['moga', 'sukses', 'untung', 'game']",positif,positif,TP
162,Kasih 5 bintang langsung soalnya udah bagus semoga kedepannya jadi makin yang terdepan,"['kasih', 'bintang', 'langsung', 'udah', 'bagus', 'moga', 'depan', 'depan']",positif,positif,TP
163,"Game gak pelit, keren deh pokoknya","['game', 'tidak', 'pelit', 'keren', 'dah', 'pokok']",positif,positif,TP
164,mantap,['mantap'],positif,positif,TP
166,bagus cuy,"['bagus', 'cuy']",positif,positif,TP
168,oklah nyaman lagi game ny,"['oke', 'nyaman', 'game']",positif,positif,TP
169,"Mulai dah pnyakitnya seperti game2 yg serupa sebelumnya(ML),server penuh gagal login","['mulai', 'dah', 'sakit', 'game', 'ml', 'server', 'penuh', 'gagal', 'login']",negatif,negatif,TN
170,menghibur,['hibur'],positif,positif,TP
171,mantap,['mantap'],positif,positif,TP
173,sering eror,"['sering', 'error']",negatif,negatif,TN
174,game match nya paling cacad develover nya anjinx,"['game', 'match', 'cacat', 'developer', 'anjing']",negatif,negatif,TN
175,"Di kasih lose mulu,dapat team ampas,naik platinum lll berasa mau naik rank tertinggi aja","['kasih', 'lose', 'mulu', 'team', 'ampas', 'naik', 'platinum', 'l', 'asa', 'naik', 'rank', 'tinggi']",negatif,negatif,TN
176,nice,['bagus'],positif,positif,TP
177,Game sampah grafik burik,"['game', 'sampah', 'grafik', 'burik']",negatif,negatif,TN
179,DARK SYSTEM MOBILE LEGENDS PADA PINDAH KE HOK NJIR MAKIN HARI MAKIN PARAH GAMEPLAY KA,"['dark', 'system', 'mobile', 'legends', 'pindah', 'honor', 'of', 'kings', 'njir', 'parah', 'gameplay', 'ka']",negatif,negatif,TN
180,Sumpah ini game kok jadi kayak virus di HP gue sumpah aneh.,"['sumpah', 'game', 'virus', 'hp', 'sumpah', 'aneh']",negatif,negatif,TN
181,mantap,['mantap'],positif,positif,TP
188,mantapp,['mantap'],positif,positif,TP
189,ok,['oke'],positif,positif,TP
190,sangat menarik dari pada game sebelah,"['sangat', 'tarik', 'game', 'belah']",positif,positif,TP
191,mantap mekanik nya gak ngebosenin,"['mantap', 'mekanik', 'tidak', 'ngebosenin']",positif,positif,TP
195,ok,['oke'],positif,positif,TP
197,Saat bermain lancar dan banyak sekin geratis dan ifen menarik saya kasih pintng lima,"['main', 'lancar', 'banyak', 'sekin', 'gratis', 'event', 'tarik', 'kasih', 'bintang']",positif,positif,TP
198,Bagus 👍👍👍,['bagus'],positif,positif,TP
199,Dapat skin banyak sih iya tapi effect ny beda jauh sama game sebelah trus gw jdi malas main juga di game ini karena klo gacha gk pernah hoki,"['skin', 'banyak', 'sih', 'iya', 'efek', 'beda', 'jauh', 'game', 'belah', 'malas', 'main', 'game', 'gacha', 'tidak', 'pernah', 'hoki']",negatif,positif,FP
201,tidak sulit,"['tidak', 'sulit']",positif,negatif,FN
202,lebih seru mlbb,"['lebih', 'seru', 'mlbb']",negatif,positif,FP
203,game baik hati🥰🥰🥰,"['game', 'baik', 'hati']",positif,positif,TP
205,"ketidak cocokan team match masih banyak sebagai player merasa di rugikan, kami harap pihak developer menindaklanjuti hal tersebut dan memberi solusi yang tepat agar semua player mendapatkan kenyamanan dalam bermain.","['tidak', 'cocok', 'team', 'match', 'banyak', 'player', 'rugi', 'harap', 'developer', 'menindaklanjuti', 'solusi', 'tepat', 'semua', 'player', 'nyaman', 'main']",negatif,negatif,TN
206,"Saran aja min,untuk turet nya terlalu gampang di pecahkan,sama fitur download nya udh di jeda tapi abis selesai match mulai otomatis,paling penting sih untuk turet nya terlalu gampang di pecahkan","['saran', 'developer', 'turret', 'gampang', 'pecah', 'fitur', 'download', 'udah', 'jeda', 'abis', 'selesai', 'match', 'mulai', 'otomatis', 'sih', 'turret', 'gampang', 'pecah']",negatif,negatif,TN
207,"GG parah Tencent,Baek Baek Tencent😁😁","['tidak', 'parah', 'tencent', 'baik', 'baek', 'tencent']",positif,negatif,FN
208,Sangat suka,"['sangat', 'suka']",positif,positif,TP
209,"sama aja kaya game ML, dark system nya ada, kalo dah mau naik tier pasti ktemu player feed, mnding main ML sekalian dah, game baru aja udah main dark system,","['game', 'ml', 'dark', 'system', 'dah', 'naik', 'tier', 'ktemu', 'player', 'feed', 'mending', 'main', 'ml', 'dah', 'game', 'baru', 'udah', 'main', 'dark', 'system']",negatif,negatif,TN
211,"keren nih hok walapun dulu pengen coba akhirnya sekarang bisa untuk server global, gas terus min sarkasin ml wkwwk.","['keren', 'honor', 'of', 'kings', 'walapun', 'ken', 'coba', 'bisa', 'server', 'global', 'gas', 'developer', 'sarkasin', 'ml', 'wkwk']",positif,positif,TP
215,ok,['oke'],positif,positif,TP
216,oke cukup bagus gameNya untuk saya,"['oke', 'bagus', 'gamenya']",positif,positif,TP
218,Cuihh heronya /rambut nya mirip ml dan jg ff minimal jangan ngikutin dong semua yg main ml pindah ke hok gara2 heronya sama mending hapus aja deh dari play store huuu ngikutin ml and ff,"['cuih', 'hero', 'rambut', 'mirip', 'ml', 'jg', 'ff', 'minimal', 'jangan', 'ngikutin', 'semua', 'main', 'ml', 'pindah', 'honor', 'of', 'kings', 'gara', 'hero', 'mending', 'hapus', 'dah', 'play', 'store', 'hu', 'ngikutin', 'ml', 'and', 'ff']",negatif,negatif,TN
220,cmantep nij game,"['mantap', 'game']",positif,positif,TP
221,game baik hati ga kaya sebelah :D,"['game', 'baik', 'hati', 'tidak', 'belah']",positif,positif,TP
222,"game nya bagus,grafik lancar,hero unik2 dan event menarik!","['game', 'bagus', 'grafik', 'lancar', 'hero', 'unik', 'event', 'tarik']",positif,positif,TP
223,game sangat bagus,"['game', 'sangat', 'bagus']",positif,positif,TP
224,Seru banget,"['seru', 'banget']",positif,positif,TP
225,seru,['seru'],positif,positif,TP
226,game yang bagus,"['game', 'bagus']",positif,positif,TP
227,mantap,['mantap'],positif,positif,TP
228,bagus,['bagus'],positif,positif,TP
229,Seru banget,"['seru', 'banget']",positif,positif,TP
234,sangat bagus,"['sangat', 'bagus']",positif,positif,TP
235,bagus,['bagus'],positif,positif,TP
236,"susah mahamin nama dan posisi. Banyak bug, loading awal lama banget....","['susah', 'mahamin', 'nama', 'posisi', 'banyak', 'bug', 'loading', 'banget']",negatif,negatif,TN
237,Mantap,['mantap'],positif,positif,TP
238,Keren,['keren'],positif,positif,TP
239,ok,['oke'],positif,positif,TP
240,untuk sekarang sangat sangat oke semuga kedepannya lebih memuaskan 👍🏻,"['sangat', 'sangat', 'oke', 'semuga', 'depan', 'lebih', 'muas']",positif,positif,TP
241,tolong buatkan pertempuran yang adil,"['tolong', 'buat', 'tempur', 'adil']",negatif,negatif,TN
243,nice,['bagus'],positif,positif,TP
244,"Untuk gameplay sih oke tapi, tolong untuk sistem matchmaking nya segera diperbaiki kenapa?, karena kenapa saya mendapatkan tim beban terus tidak setara dengan rank yang saya miliki. Dan kalau pihak developer ingin kita sebagai player betah bermain hok tolong segera diperbaiki sistem tersebut.","['gameplay', 'sih', 'oke', 'tolong', 'system', 'matchmaking', 'baik', 'tim', 'beban', 'tidak', 'tara', 'rank', 'milik', 'developer', 'player', 'betah', 'main', 'honor', 'of', 'kings', 'tolong', 'baik', 'system']",negatif,positif,FP
246,Gax bisa masuk ke game play nya setiap mau masuk game play nya selalu gagal al hasil saya gax bisa main² tolong ya di perbaiki,"['tidak', 'bisa', 'masuk', 'game', 'play', 'masuk', 'game', 'play', 'gagal', 'al', 'hasil', 'tidak', 'bisa', 'main', 'tolong', 'ya', 'baik']",negatif,negatif,TN
247,sejauh ini ok lah,['oke'],positif,positif,TP
248,Kenapa dikasihnya tim luar dan lawanya dapetnya yang gak sepadan jadi kurang nyaman,"['kasih', 'tim', 'luar', 'lawa', 'dapetnya', 'tidak', 'padan', 'nyaman']",negatif,negatif,TN
249,"Game asu baru ngisi data udah abis, gila ini game terlalu banyak mkn data 😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡😡","['game', 'anjing', 'baru', 'ngisi', 'data', 'udah', 'abis', 'gila', 'game', 'banyak', 'makan', 'data']",negatif,negatif,TN
250,"Beberapa hari bermain HOK mulai berpenyakit seperti MLBB, pengaturan tim yang tak jelas kadang seakan memang dibuat kalah dengan dipasangkan dengan anggota tim yang tak tahu cara bermain juga tak tahu rotasi setiap hero. Yang sedang mendownload berharap ini lebih baik dari MLBB dan AOV, mereka tidak lebih baik dark sistem lebih parah disini. HOK sedang menuju jalan yang sama denga AOV, Jalan kehancuran.","['main', 'honor', 'of', 'kings', 'mulai', 'sakit', 'mlbb', 'atur', 'tim', 'tidak', 'jelas', 'kadang', 'akan', 'kalah', 'pasang', 'anggota', 'tim', 'tidak', 'main', 'tidak', 'rotasi', 'hero', 'mendownload', 'harap', 'lebih', 'baik', 'mlbb', 'aov', 'tidak', 'lebih', 'baik', 'dark', 'system', 'lebih', 'parah', 'honor', 'of', 'kings', 'jalan', 'denga', 'aov', 'jalan', 'hancur']",negatif,negatif,TN
251,"Kenapa gamenya seru?, karena gamenya seru dan banyak skin gratis bahkan bisa mendapatkan skin legend 😋😋","['gamenya', 'seru', 'gamenya', 'seru', 'banyak', 'skin', 'gratis', 'bisa', 'skin', 'legend']",positif,positif,TP
254,Defense turret nya terlalu lemah dan demage turret nya gak sakit padahal gak ada minion di dalam turret nya 🗿🗿🗿🗿,"['defense', 'turret', 'lemah', 'damage', 'turret', 'tidak', 'sakit', 'tidak', 'minion', 'turret']",negatif,negatif,TN
255,baguss,['bagus'],positif,positif,TP
258,Sehat sehat game baik,"['sehat', 'sehat', 'game', 'baik']",positif,positif,TP
260,"game bagus, ga pelit","['game', 'bagus', 'tidak', 'pelit']",positif,positif,TP
261,game kerennnnn,"['game', 'keren']",positif,positif,TP
262,"gamenya mantap, dri segi grafik dan lainnya jga mantap 👍👍👍👍","['gamenya', 'mantap', 'segi', 'grafik', 'mantap']",positif,positif,TP
263,mantap,['mantap'],positif,positif,TP
264,"Game nya ngawur banget bet masa ketemu player campuran terus ketemu negara Thailand Brazil Malaysia dan lain"" yang bikin males gw sama aja ni game ada drak system' kaya game sebelah emang bnyak even tapi tolong lah jangan banyakin player campuran ke gitu main nya boot parah","['game', 'ngawur', 'banget', 'banget', 'ketemu', 'player', 'campur', 'ketemu', 'negara', 'thailand', 'brazil', 'malaysia', 'males', 'game', 'dark', 'system', 'game', 'belah', 'emang', 'banyak', 'even', 'tolong', 'jangan', 'banyakin', 'player', 'campur', 'gitu', 'main', 'bot', 'parah']",negatif,positif,FP
265,sangat menghibur,"['sangat', 'hibur']",positif,positif,TP
267,game baik ga kek moonton,"['game', 'baik', 'tidak', 'moonton']",positif,negatif,FN
268,Mantap game nya ga kaya game sebelah,"['mantap', 'game', 'tidak', 'game', 'belah']",positif,positif,TP
269,bagus,['bagus'],positif,positif,TP
270,keren,['keren'],positif,positif,TP
271,mantap,['mantap'],positif,positif,TP
272,game yang sangat bagus klo game ini walau kalah ttp ketawa.. klo mobile legend bikin gw koma klo kalah...,"['game', 'sangat', 'bagus', 'game', 'kalah', 'ketawa', 'mobile', 'legend', 'koma', 'kalah']",positif,positif,TP
273,Keren,['keren'],positif,positif,TP
275,Sinyal susahhhhhh,"['sinyal', 'susah']",negatif,negatif,TN
276,Bagus seru,"['bagus', 'seru']",positif,positif,TP
277,"Belum menemukan titik keseruan dari game ini, tapi lumayan juga sih game ini buat para drak sistem dari game sebelah buat pindah kesini. Terima kasih","['temu', 'titik', 'seru', 'game', 'lumayan', 'sih', 'game', 'buat', 'parah', 'dark', 'system', 'game', 'belah', 'buat', 'pindah', 'kesini', 'terima', 'kasih']",negatif,positif,FP
280,bagus,['bagus'],positif,positif,TP
282,"Perbaikin matchmakingnya, lawan tidak imbang","['perbaikin', 'matchmakingnya', 'lawan', 'tidak', 'imbang']",negatif,negatif,TN
284,bagus,['bagus'],positif,positif,TP
285,Setalah download data game langsung stuk di loading screen tolong di fix,"['download', 'data', 'game', 'langsung', 'stuck', 'loading', 'screen', 'tolong', 'fix']",negatif,negatif,TN
286,Lemot banget tolong??,"['banget', 'tolong']",negatif,positif,FP
287,mantap,['mantap'],positif,positif,TP
288,ok,['oke'],positif,positif,TP
289,bagus,['bagus'],positif,positif,TP
291,seru,['seru'],positif,positif,TP
292,"11 12 sm game mobile legends, gue ketemu dark sistem padahal 1 bintang lagi lepas diamon satu, dan naik tier, tapi setiap 1 bintang terakhir di kasi tim bot dan tim lawan pro, udah keliatan kebusukan nya, dasar game ampas","['game', 'mobile', 'legends', 'ketemu', 'dark', 'system', 'bintang', 'lepas', 'diamond', 'naik', 'tier', 'bintang', 'kasih', 'tim', 'bot', 'tim', 'lawan', 'pro', 'udah', 'liat', 'busuk', 'dasar', 'game', 'ampas']",negatif,negatif,TN
295,permainan yg sangat senang sekali,"['main', 'sangat', 'senang', 'sekali']",positif,positif,TP
296,keren 👍👍👍👍❤❤❤,['keren'],positif,positif,TP
297,Ngelag para,"['ngelag', 'parah']",negatif,negatif,TN
298,Sngat memuaskan,"['sngat', 'muas']",positif,positif,TP
299,game nyaa baguss sii.......,"['game', 'bagus', 'si']",positif,positif,TP
300,mantap game nya 👍👍👍,"['mantap', 'game']",positif,positif,TP
302,mantap,['mantap'],positif,positif,TP
303,"KU KIRA BEDA SAMA GAME SEBELAH, TERNYATA SAMA AJA.","['beda', 'game', 'belah']",negatif,negatif,TN
304,𝙶𝚊𝚖𝚎 𝚐𝚊 𝚓𝚎𝚕𝚊𝚜,[],negatif,positif,FP
308,game nya bagus,"['game', 'bagus']",positif,positif,TP
309,keren,['keren'],positif,positif,TP
310,mantap kali,"['mantap', 'kali']",positif,positif,TP
311,Mantap,['mantap'],positif,positif,TP
312,enak juga,['enak'],positif,positif,TP
