,content,lower_case,clean_1,clean_2,normalized,tokens,stopword,stemming,sentimen
33,Ni game kebanyakan stun babi,ni game kebanyakan stun babi,ni game kebanyakan stun babi,ni game kebanyakan stun babi,ini game kebanyakan stun babi,"['ini', 'game', 'kebanyakan', 'stun', 'babi']","['game', 'kebanyakan', 'stun', 'babi']","['game', 'banyak', 'stun', 'babi']",2.0
36,"11,12 sama ml bnyak dark sistem","11,12 sama ml bnyak dark sistem", sama ml bnyak dark sistem, sama ml bnyak dark sistem,sama ml banyak dark system,"['sama', 'ml', 'banyak', 'dark', 'system']","['ml', 'banyak', 'dark', 'system']","['ml', 'banyak', 'dark', 'system']",2.0
37,nice,nice,nice,nice,bagus,['bagus'],['bagus'],['bagus'],1.0
38,"Saya mencoba bermain custom dengan AI, tapi tidak bisa dijadikan tempat berlatih karena AI terlalu bego dalam memilih lane dan juga buta map","saya mencoba bermain custom dengan ai, tapi tidak bisa dijadikan tempat berlatih karena ai terlalu bego dalam memilih lane dan juga buta map",saya mencoba bermain custom dengan ai tapi tidak bisa dijadikan tempat berlatih karena ai terlalu bego dalam memilih lane dan juga buta map,saya mencoba bermain custom dengan ai tapi tidak bisa dijadikan tempat berlatih karena ai terlalu bego dalam memilih lane dan juga buta map,saya mencoba bermain custom dengan ai tapi tidak bisa dijadikan tempat berlatih karena ai terlalu bego dalam memilih lane dan juga buta map,"['saya', 'mencoba', 'bermain', 'custom', 'dengan', 'ai', 'tapi', 'tidak', 'bisa', 'dijadikan', 'tempat', 'berlatih', 'karena', 'ai', 'terlalu', 'bego', 'dalam', 'memilih', 'lane', 'dan', 'juga', 'buta', 'map']","['mencoba', 'bermain', 'custom', 'ai', 'tidak', 'bisa', 'dijadikan', 'berlatih', 'ai', 'bego', 'memilih', 'lane', 'buta', 'map']","['coba', 'main', 'custom', 'ai', 'tidak', 'bisa', 'jadi', 'latih', 'ai', 'bego', 'pilih', 'lane', 'buta', 'map']",2.0
39,Dasar plagiat,dasar plagiat,dasar plagiat,dasar plagiat,dasar plagiat,"['dasar', 'plagiat']","['dasar', 'plagiat']","['dasar', 'plagiat']",2.0
41,Tolong min jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil..... Itu aja sih min selebihnya udah mantep kok,tolong min jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil..... itu aja sih min selebihnya udah mantep kok,tolong min jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil itu aja sih min selebihnya udah mantep kok,tolong min jaringanya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi kok masih lag padahal jaringan wifi udah stabil itu aja sih min selebihnya udah mantep kok,tolong developer jaringannya lebih ditingkatkan lagi soalnya aku main pakai wifi tapi malah masih lag padahal jaringan wifi udah stabil itu saja sih developer selebihnya udah mantap malah,"['tolong', 'developer', 'jaringannya', 'lebih', 'ditingkatkan', 'lagi', 'soalnya', 'aku', 'main', 'pakai', 'wifi', 'tapi', 'malah', 'masih', 'lag', 'padahal', 'jaringan', 'wifi', 'udah', 'stabil', 'itu', 'saja', 'sih', 'developer', 'selebihnya', 'udah', 'mantap', 'malah']","['tolong', 'developer', 'jaringannya', 'lebih', 'ditingkatkan', 'main', 'pakai', 'wifi', 'lag', 'jaringan', 'wifi', 'udah', 'stabil', 'sih', 'developer', 'selebihnya', 'udah', 'mantap']","['tolong', 'developer', 'jaring', 'lebih', 'tingkat', 'main', 'pakai', 'wifi', 'lag', 'jaring', 'wifi', 'udah', 'stabil', 'sih', 'developer', 'lebih', 'udah', 'mantap']",2.0
43,game niru,game niru,game niru,game niru,game plagiat,"['game', 'plagiat']","['game', 'plagiat']","['game', 'plagiat']",2.0
46,Hero heronya dapat dari aov cuman ganti nama doang,hero heronya dapat dari aov cuman ganti nama doang,hero heronya dapat dari aov cuman ganti nama doang,hero heronya dapat dari aov cuman ganti nama doang,hero heronya dapat dari aov cuman ganti nama doang,"['hero', 'heronya', 'dapat', 'dari', 'aov', 'cuman', 'ganti', 'nama', 'doang']","['hero', 'heronya', 'aov', 'cuman', 'ganti', 'nama', 'doang']","['hero', 'hero', 'aov', 'cuman', 'ganti', 'nama', 'doang']",2.0
47,Iklannya terlalu mengganggu game lain,iklannya terlalu mengganggu game lain,iklannya terlalu mengganggu game lain,iklanya terlalu mengangu game lain,iklannya terlalu mengganggu game lain,"['iklannya', 'terlalu', 'mengganggu', 'game', 'lain']","['iklannya', 'mengganggu', 'game']","['iklan', 'ganggu', 'game']",2.0
48,masih bingung,masih bingung,masih bingung,masih bingung,masih bingung,"['masih', 'bingung']",['bingung'],['bingung'],2.0
49,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
50,Game niruin Mobilr legends awokawokawok,game niruin mobilr legends awokawokawok,game niruin mobilr legends awokawokawok,game niruin mobilr legends awokawokawok,game niruin mobile legends awokawokawok,"['game', 'niruin', 'mobile', 'legends', 'awokawokawok']","['game', 'niruin', 'mobile', 'legends', 'awokawokawok']","['game', 'niruin', 'mobile', 'legends', 'awokawokawok']",2.0
52,"heh bodoh yg buat game, tau diri lah anjingg, masih pangkat rendah ngasih tim bot, ngasih lawan pro player, dimana letak akalnya coba, hadeh pikirlah ANJINGGG , bocil aru main game ini gk usah pada download lh, main berbi aja udh, sok"" nyoba game baru, main skill gk ada sama sekali hadeh, ngabis'sin batre aja pikir"" lh ngasih tim woi yg buat game ANJINGGGGG BODOH APA GIMANAA MASIH PANGKAT RENDAH LO KONTOLLLL DIKASIH TIM KROCO LAWAN PRO PLAYERR HADEHHH ANJINGGGG","heh bodoh yg buat game, tau diri lah anjingg, masih pangkat rendah ngasih tim bot, ngasih lawan pro player, dimana letak akalnya coba, hadeh pikirlah anjinggg , bocil aru main game ini gk usah pada download lh, main berbi aja udh, sok"" nyoba game baru, main skill gk ada sama sekali hadeh, ngabis'sin batre aja pikir"" lh ngasih tim woi yg buat game anjinggggg bodoh apa gimanaa masih pangkat rendah lo kontollll dikasih tim kroco lawan pro playerr hadehhh anjingggg",heh bodoh yg buat game tau diri lah anjingg masih pangkat rendah ngasih tim bot ngasih lawan pro player dimana letak akalnya coba hadeh pikirlah anjinggg  bocil aru main game ini gk usah pada download lh main berbi aja udh sok nyoba game baru main skill gk ada sama sekali hadeh ngabissin batre aja pikir lh ngasih tim woi yg buat game anjinggggg bodoh apa gimanaa masih pangkat rendah lo kontollll dikasih tim kroco lawan pro playerr hadehhh anjingggg,heh bodoh yg buat game tau diri lah anjing masih pangkat rendah ngasih tim bot ngasih lawan pro player dimana letak akalnya coba hadeh pikirlah anjing bocil aru main game ini gk usah pada download lh main berbi aja udh sok nyoba game baru main skil gk ada sama sekali hadeh ngabisin batre aja pikir lh ngasih tim woi yg buat game anjing bodoh apa gimana masih pangkat rendah lo kontol dikasih tim kroco lawan pro player hadeh anjing,heh bodoh yang buat game tahu diri lah anjing masih pangkat rendah ngasih tim bot ngasih lawan pro player dimana letak akalnya coba aduh pikirlah anjing bocah kecil baru main game ini tidak usah pada download lah main berbi saja udah sok nyoba game baru main skill tidak ada sama sekali aduh ngabisin batre saja pikir lah ngasih tim woi yang buat game anjing bodoh apa gimana masih pangkat rendah lu kontol dikasih tim kroco lawan pro player aduh anjing,"['heh', 'bodoh', 'yang', 'buat', 'game', 'tahu', 'diri', 'lah', 'anjing', 'masih', 'pangkat', 'rendah', 'ngasih', 'tim', 'bot', 'ngasih', 'lawan', 'pro', 'player', 'dimana', 'letak', 'akalnya', 'coba', 'aduh', 'pikirlah', 'anjing', 'bocah', 'kecil', 'baru', 'main', 'game', 'ini', 'tidak', 'usah', 'pada', 'download', 'lah', 'main', 'berbi', 'saja', 'udah', 'sok', 'nyoba', 'game', 'baru', 'main', 'skill', 'tidak', 'ada', 'sama', 'sekali', 'aduh', 'ngabisin', 'batre', 'saja', 'pikir', 'lah', 'ngasih', 'tim', 'woi', 'yang', 'buat', 'game', 'anjing', 'bodoh', 'apa', 'gimana', 'masih', 'pangkat', 'rendah', 'lu', 'kontol', 'dikasih', 'tim', 'kroco', 'lawan', 'pro', 'player', 'aduh', 'anjing']","['heh', 'bodoh', 'buat', 'game', 'anjing', 'pangkat', 'rendah', 'ngasih', 'tim', 'bot', 'ngasih', 'lawan', 'pro', 'player', 'dimana', 'letak', 'akalnya', 'coba', 'aduh', 'pikirlah', 'anjing', 'bocah', 'kecil', 'baru', 'main', 'game', 'tidak', 'download', 'main', 'berbi', 'udah', 'sok', 'nyoba', 'game', 'baru', 'main', 'skill', 'tidak', 'sekali', 'aduh', 'ngabisin', 'batre', 'pikir', 'ngasih', 'tim', 'woi', 'buat', 'game', 'anjing', 'bodoh', 'gimana', 'pangkat', 'rendah', 'kontol', 'dikasih', 'tim', 'kroco', 'lawan', 'pro', 'player', 'aduh', 'anjing']","['heh', 'bodoh', 'buat', 'game', 'anjing', 'pangkat', 'rendah', 'ngasih', 'tim', 'bot', 'ngasih', 'lawan', 'pro', 'player', 'mana', 'letak', 'akal', 'coba', 'aduh', 'pikir', 'anjing', 'bocah', 'kecil', 'baru', 'main', 'game', 'tidak', 'download', 'main', 'berbi', 'udah', 'sok', 'nyoba', 'game', 'baru', 'main', 'skill', 'tidak', 'sekali', 'aduh', 'ngabisin', 'batre', 'pikir', 'ngasih', 'tim', 'woi', 'buat', 'game', 'anjing', 'bodoh', 'gimana', 'pangkat', 'rendah', 'kontol', 'kasih', 'tim', 'kroco', 'lawan', 'pro', 'player', 'aduh', 'anjing']",2.0
53,Lumayan memuaskan game nya juga bagus mantap sih ini,lumayan memuaskan game nya juga bagus mantap sih ini,lumayan memuaskan game nya juga bagus mantap sih ini,lumayan memuaskan game nya juga bagus mantap sih ini,lumayan memuaskan game nya juga bagus mantap sih ini,"['lumayan', 'memuaskan', 'game', 'nya', 'juga', 'bagus', 'mantap', 'sih', 'ini']","['lumayan', 'memuaskan', 'game', 'bagus', 'mantap', 'sih']","['lumayan', 'muas', 'game', 'bagus', 'mantap', 'sih']",1.0
54,Keren sekali. Hero banyak dan desain skin menarik. Banyak gratisan. Ayo main bareng semuanya,keren sekali. hero banyak dan desain skin menarik. banyak gratisan. ayo main bareng semuanya,keren sekali hero banyak dan desain skin menarik banyak gratisan ayo main bareng semuanya,keren sekali hero banyak dan desain skin menarik banyak gratisan ayo main bareng semuanya,keren sekali hero banyak dan desain skin menarik banyak gratisan ayo main bareng semuanya,"['keren', 'sekali', 'hero', 'banyak', 'dan', 'desain', 'skin', 'menarik', 'banyak', 'gratisan', 'ayo', 'main', 'bareng', 'semuanya']","['keren', 'sekali', 'hero', 'banyak', 'desain', 'skin', 'menarik', 'banyak', 'gratisan', 'ayo', 'main', 'bareng', 'semuanya']","['keren', 'sekali', 'hero', 'banyak', 'desain', 'skin', 'tarik', 'banyak', 'gratis', 'ayo', 'main', 'bareng', 'semua']",1.0
56,seru banget game nya,seru banget game nya,seru banget game nya,seru banget game nya,seru banget game nya,"['seru', 'banget', 'game', 'nya']","['seru', 'banget', 'game']","['seru', 'banget', 'game']",1.0
57,Tetap semangat untuk menyaingi monton🗿,tetap semangat untuk menyaingi monton🗿,tetap semangat untuk menyaingi monton,tetap semangat untuk menyaingi monton,tetap semangat untuk menyaingi moonton,"['tetap', 'semangat', 'untuk', 'menyaingi', 'moonton']","['semangat', 'menyaingi', 'moonton']","['semangat', 'saing', 'moonton']",1.0
59,Hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertinggi,hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertinggi,hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertinggi,hasil akhir tidak sesesui harus nya saya mendapat mvp dengan kda tertingi,hasil akhir tidak sesuai harus nya saya mendapat mvp dengan kda tertinggi,"['hasil', 'akhir', 'tidak', 'sesuai', 'harus', 'nya', 'saya', 'mendapat', 'mvp', 'dengan', 'kda', 'tertinggi']","['hasil', 'tidak', 'sesuai', 'mvp', 'kda', 'tertinggi']","['hasil', 'tidak', 'sesuai', 'mvp', 'kda', 'tinggi']",2.0
60,Game burik mending mobile legen,game burik mending mobile legen,game burik mending mobile legen,game burik mending mobile legen,game burik mending mobile legends,"['game', 'burik', 'mending', 'mobile', 'legends']","['game', 'burik', 'mending', 'mobile', 'legends']","['game', 'burik', 'mending', 'mobile', 'legends']",2.0
61,ntappp,ntappp,ntappp,ntap,mantap,['mantap'],['mantap'],['mantap'],1.0
62,"aku senang sekali memainkan game ini, game ini mengasih skin² dari rare - legand dan itu gratis","aku senang sekali memainkan game ini, game ini mengasih skin² dari rare - legand dan itu gratis",aku senang sekali memainkan game ini game ini mengasih skin dari rare  legand dan itu gratis,aku senang sekali memainkan game ini game ini mengasih skin dari rare legand dan itu gratis,aku senang sekali memainkan game ini game ini mengasih skin dari rare legend dan itu gratis,"['aku', 'senang', 'sekali', 'memainkan', 'game', 'ini', 'game', 'ini', 'mengasih', 'skin', 'dari', 'rare', 'legend', 'dan', 'itu', 'gratis']","['senang', 'sekali', 'memainkan', 'game', 'game', 'mengasih', 'skin', 'rare', 'legend', 'gratis']","['senang', 'sekali', 'main', 'game', 'game', 'asih', 'skin', 'rare', 'legend', 'gratis']",1.0
63,Game plagiat,game plagiat,game plagiat,game plagiat,game plagiat,"['game', 'plagiat']","['game', 'plagiat']","['game', 'plagiat']",2.0
65,"keren game nya banyak skin skin keren,, :v","keren game nya banyak skin skin keren,, :v",keren game nya banyak skin skin keren v,keren game nya banyak skin skin keren v,keren game nya banyak skin skin keren v,"['keren', 'game', 'nya', 'banyak', 'skin', 'skin', 'keren', 'v']","['keren', 'game', 'banyak', 'skin', 'skin', 'keren', 'v']","['keren', 'game', 'banyak', 'skin', 'skin', 'keren', 'v']",1.0
66,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
67,game kntl,game kntl,game kntl,game kntl,game kontol,"['game', 'kontol']","['game', 'kontol']","['game', 'kontol']",2.0
70,sangat bagus,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']","['sangat', 'bagus']","['sangat', 'bagus']",1.0
72,Geme plagiat,geme plagiat,geme plagiat,geme plagiat,game plagiat,"['game', 'plagiat']","['game', 'plagiat']","['game', 'plagiat']",2.0
75,Gem nya bagus,gem nya bagus,gem nya bagus,gem nya bagus,game nya bagus,"['game', 'nya', 'bagus']","['game', 'bagus']","['game', 'bagus']",1.0
76,Gem ini seberu bangett,gem ini seberu bangett,gem ini seberu bangett,gem ini seberu banget,game ini seru banget,"['game', 'ini', 'seru', 'banget']","['game', 'seru', 'banget']","['game', 'seru', 'banget']",1.0
78,ok,ok,ok,ok,oke,['oke'],['oke'],['oke'],1.0
79,Kenapa gw dapet tim dark sistem tim gw bot musuh gw gg semua ini gimana caranya gw menang ayolah yang bener aja males main,kenapa gw dapet tim dark sistem tim gw bot musuh gw gg semua ini gimana caranya gw menang ayolah yang bener aja males main,kenapa gw dapet tim dark sistem tim gw bot musuh gw gg semua ini gimana caranya gw menang ayolah yang bener aja males main,kenapa gw dapet tim dark sistem tim gw bot musuh gw g semua ini gimana caranya gw menang ayolah yang bener aja males main,kenapa gw dapet tim dark system tim gw bot musuh gw tidak semua ini gimana caranya gw menang ayolah yang bener saja males main,"['kenapa', 'gw', 'dapet', 'tim', 'dark', 'system', 'tim', 'gw', 'bot', 'musuh', 'gw', 'tidak', 'semua', 'ini', 'gimana', 'caranya', 'gw', 'menang', 'ayolah', 'yang', 'bener', 'saja', 'males', 'main']","['dapet', 'tim', 'dark', 'system', 'tim', 'bot', 'musuh', 'tidak', 'semua', 'gimana', 'menang', 'ayolah', 'bener', 'males', 'main']","['dapet', 'tim', 'dark', 'system', 'tim', 'bot', 'musuh', 'tidak', 'semua', 'gimana', 'menang', 'ayo', 'bener', 'males', 'main']",2.0
81,Gem ini bagu dari penampilan nya juga bagus apalagi pas mainnnya jadi saya suka permainan ini,gem ini bagu dari penampilan nya juga bagus apalagi pas mainnnya jadi saya suka permainan ini,gem ini bagu dari penampilan nya juga bagus apalagi pas mainnnya jadi saya suka permainan ini,gem ini bagu dari penampilan nya juga bagus apalagi pas mainya jadi saya suka permainan ini,game ini bagus dari penampilan nya juga bagus apalagi pas mainnya jadi saya suka permainan ini,"['game', 'ini', 'bagus', 'dari', 'penampilan', 'nya', 'juga', 'bagus', 'apalagi', 'pas', 'mainnya', 'jadi', 'saya', 'suka', 'permainan', 'ini']","['game', 'bagus', 'penampilan', 'bagus', 'pas', 'mainnya', 'suka', 'permainan']","['game', 'bagus', 'tampil', 'bagus', 'pas', 'main', 'suka', 'main']",1.0
82,geme ini sangat seru,geme ini sangat seru,geme ini sangat seru,geme ini sangat seru,game ini sangat seru,"['game', 'ini', 'sangat', 'seru']","['game', 'sangat', 'seru']","['game', 'sangat', 'seru']",1.0
86,bgus,bgus,bgus,bgus,bagus,['bagus'],['bagus'],['bagus'],1.0
88,bagus,bagus,bagus,bagus,bagus,['bagus'],['bagus'],['bagus'],1.0
90,seru nggak kaya mobile legend cacat,seru nggak kaya mobile legend cacat,seru nggak kaya mobile legend cacat,seru ngak kaya mobile legend cacat,seru tidak seperti mobile legend cacat,"['seru', 'tidak', 'seperti', 'mobile', 'legend', 'cacat']","['seru', 'tidak', 'mobile', 'legend', 'cacat']","['seru', 'tidak', 'mobile', 'legend', 'cacat']",1.0
91,tak ada lawan mantaf,tak ada lawan mantaf,tak ada lawan mantaf,tak ada lawan mantaf,tidak ada lawan mantap,"['tidak', 'ada', 'lawan', 'mantap']","['tidak', 'lawan', 'mantap']","['tidak', 'lawan', 'mantap']",1.0
93,"grafik oke, Skin banyak dan gratis untuk pemula, Tencent dabest lah","grafik oke, skin banyak dan gratis untuk pemula, tencent dabest lah",grafik oke skin banyak dan gratis untuk pemula tencent dabest lah,grafik oke skin banyak dan gratis untuk pemula tencent dabest lah,grafik oke skin banyak dan gratis untuk pemula tencent terbaik lah,"['grafik', 'oke', 'skin', 'banyak', 'dan', 'gratis', 'untuk', 'pemula', 'tencent', 'terbaik', 'lah']","['grafik', 'oke', 'skin', 'banyak', 'gratis', 'pemula', 'tencent', 'terbaik']","['grafik', 'oke', 'skin', 'banyak', 'gratis', 'mula', 'tencent', 'baik']",1.0
96,Gamenya sih okelah bagus mirip ml aku kasih bintang 5,gamenya sih okelah bagus mirip ml aku kasih bintang 5,gamenya sih okelah bagus mirip ml aku kasih bintang ,gamenya sih okelah bagus mirip ml aku kasih bintang ,gamenya sih okelah bagus mirip ml aku kasih bintang,"['gamenya', 'sih', 'okelah', 'bagus', 'mirip', 'ml', 'aku', 'kasih', 'bintang']","['gamenya', 'sih', 'okelah', 'bagus', 'mirip', 'ml', 'kasih', 'bintang']","['gamenya', 'sih', 'oke', 'bagus', 'mirip', 'ml', 'kasih', 'bintang']",1.0
99,mantap,mantap,mantap,mantap,mantap,['mantap'],['mantap'],['mantap'],1.0
100,Mending ml,mending ml,mending ml,mending ml,mending ml,"['mending', 'ml']","['mending', 'ml']","['mending', 'ml']",2.0
101,"gamenya sangat seru dibandingkan game sebelah, developer tidak pelit sama sekali, pokoknya mantap deh","gamenya sangat seru dibandingkan game sebelah, developer tidak pelit sama sekali, pokoknya mantap deh",gamenya sangat seru dibandingkan game sebelah developer tidak pelit sama sekali pokoknya mantap deh,gamenya sangat seru dibandingkan game sebelah developer tidak pelit sama sekali pokoknya mantap deh,gamenya sangat seru dibandingkan game sebelah developer tidak pelit sama sekali pokoknya mantap dah,"['gamenya', 'sangat', 'seru', 'dibandingkan', 'game', 'sebelah', 'developer', 'tidak', 'pelit', 'sama', 'sekali', 'pokoknya', 'mantap', 'dah']","['gamenya', 'sangat', 'seru', 'dibandingkan', 'game', 'sebelah', 'developer', 'tidak', 'pelit', 'sekali', 'pokoknya', 'mantap', 'dah']","['gamenya', 'sangat', 'seru', 'banding', 'game', 'belah', 'developer', 'tidak', 'pelit', 'sekali', 'pokok', 'mantap', 'dah']",1.0
102,keren gamenya dan seru,keren gamenya dan seru,keren gamenya dan seru,keren gamenya dan seru,keren gamenya dan seru,"['keren', 'gamenya', 'dan', 'seru']","['keren', 'gamenya', 'seru']","['keren', 'gamenya', 'seru']",1.0
103,keren,keren,keren,keren,keren,['keren'],['keren'],['keren'],1.0
104,Agak ngeleg² kalo di pencet,agak ngeleg² kalo di pencet,agak ngeleg kalo di pencet,agak ngeleg kalo di pencet,agak ngelag kalau di pencet,"['agak', 'ngelag', 'kalau', 'di', 'pencet']","['ngelag', 'pencet']","['ngelag', 'pencet']",2.0
